year,region,citizenship,immigration,population,immigration_ratio,citizenship_ratio
2001,Zug,466,1559,19181,0.0812783483655701,0.024294875136854178
2001,Zürich,7011,20545,261090,0.07868934084032327,0.026852809376077216
2002,Aargau,2262,5255,105743,0.04969596096195493,0.021391486906934737
2002,Appenzell Ausserrhoden,255,451,7265,0.062078458362009634,0.03509979353062629
2002,Appenzell Innerrhoden,40,80,1515,0.052805280528052806,0.026402640264026403
2002,Basel-Landschaft,933,2553,45318,0.05633523103402621,0.02058784588905071
2002,Basel-Stadt,1443,4102,51644,0.07942839439237859,0.02794129037255054
2002,Bern,4720,9167,114651,0.07995569162065748,0.04116841545211119
2002,Fribourg,819,3256,34149,0.0953468622800082,0.02398313274180796
2002,Genève,3026,14032,155082,0.09048116480313641,0.01951225803123509
2002,Glarus,231,385,7645,0.050359712230215826,0.030215827338129497
2002,Graubünden,529,2819,24210,0.1164394878149525,0.02185047501032631
2002,Jura,275,407,8350,0.04874251497005988,0.03293413173652695
2002,Luzern,1596,4298,53332,0.08058951473786845,0.029925748143703593
2002,Neuchâtel,651,2219,37699,0.05886097774476776,0.01726836255603597
2002,Nidwalden,94,349,3623,0.09632900910847364,0.025945349158156224
2002,No indication,0,0,0,,
2002,Obwalden,123,376,3543,0.10612475303415185,0.03471634208298052
2002,Schaffhausen,301,919,14556,0.06313547677933498,0.02067875790052212
2002,Schwyz,266,1198,20374,0.058800431923039166,0.013055855502110534
2002,Solothurn,516,1822,41643,0.04375285161972,0.012391038109646278
2002,St. Gallen,1726,4287,89614,0.04783850737607963,0.019260383422233133
2002,Switzerland,36515,105014,1447553,0.07254587569505228,0.025225328537193458
2002,Thurgau,980,2365,43347,0.0545597157819457,0.02260825431979145
2002,Ticino,2633,4141,78891,0.052490144629932435,0.03337516319985803
2002,Uri,79,309,2756,0.11211901306240929,0.028664731494920173
2002,Valais,594,4107,45773,0.08972538395997641,0.01297708255958753
2002,Vaud,4174,14730,167376,0.08800544880986522,0.02493786444890546
2002,Zug,448,1503,19794,0.07593210063655653,0.022633121147822573
2002,Zürich,7801,19884,269660,0.07373729882073722,0.028929021731068753
2003,Aargau,2124,4499,108426,0.04149373766439784,0.019589397377012895
2003,Appenzell Ausserrhoden,281,362,7257,0.04988287171007303,0.03872123466997382
2003,Appenzell Innerrhoden,46,86,1487,0.05783456624075319,0.03093476798924008
2003,Basel-Landschaft,1171,2114,46513,0.045449659235052564,0.025175757315159204
2003,Basel-Stadt,1248,3856,52989,0.07276982015135217,0.02355205797429655
2003,Bern,3182,8028,115884,0.06927617272444858,0.027458492975734355
2003,Fribourg,1023,3163,35740,0.08850027979854505,0.028623391158365978
2003,Genève,4259,15212,158193,0.09616101850271504,0.02692280947955978
2003,Glarus,173,437,7642,0.057183983250457995,0.022638052865741953
2003,Graubünden,1099,2991,25167,0.11884610799856955,0.0436682957841618
2003,Jura,204,420,8285,0.05069402534701267,0.024622812311406155
2003,Luzern,1219,3159,54056,0.058439396181737456,0.02255068817522569
2003,Neuchâtel,940,2068,38067,0.05432526860535372,0.024693303911524418
2003,Nidwalden,154,326,3679,0.08861103560750204,0.04185920086980158
2003,No indication,0,0,0,,
2003,Obwalden,70,309,3602,0.08578567462520821,0.01943364797334814
2003,Schaffhausen,367,759,14991,0.05063037822693616,0.02448135547995464
2003,Schwyz,215,1029,20963,0.04908648571292277,0.010256165625149073
2003,Solothurn,461,1412,42688,0.03307721139430285,0.010799287856071964
2003,St. Gallen,1695,4228,91045,0.0464385743313746,0.01861716733483442
2003,Switzerland,35424,98812,1476966,0.06690201399355164,0.023984302956195337
